"Full Name","Aadhaar Number","Date of Birth","Address"
"Bahadurjit Gade","610022707699","11-12-1997","H.No. 136, Ramakrishnan Road, Bhopal, Bihar - 223011"
"Bhavna Nagarajan","727675798397","14-05-2003","H.No. 979, Dass, Rohtak, Bihar - 471171"
"Anusha Mand","573825877904","29-06-1996","H.No. 954, Boase Marg, Udaipur, Punjab - 361449"
"Harini Ratti","500892772735","07-01-1989","H.No. 143, Gill, Rohtak, Haryana - 836904"
"Rohan Talwar","785102188982","22-05-1984","H.No. 951, Natarajan Road, West Delhi, Delhi - 736214"
"Indali Koshy","255131303700","11-11-1982","H.No. 980, Chandra Path, Amritsar, Madhya Pradesh - 276245"
"Isaac Wadhwa","600683759116","21-01-1986","H.No. 493, Dalal Street, Bhopal, Rajasthan - 609437"
"Januja Swamy","628223978667","20-08-1964","H.No. 845, Garg Path, South Delhi, Rajasthan - 269612"
"Nachiket Kurian","354596478960","13-07-1990","H.No. 62, Sachdev Road, Ludhiana, Haryana - 494609"
"Deepa Dayal","227761718820","07-06-1964","H.No. 772, Sibal Circle, West Delhi, Delhi - 774161"
"Omisha Lanka","650504742056","05-10-1985","H.No. 344, Tandon Path, Asansol, Delhi - 370150"
"Odika Varty","721998990833","17-03-1998","H.No. 930, Andra Zila, Howrah, Delhi - 417467"
"Gaurav Yohannan","906520256260","17-05-1984","H.No. 795, Kala Path, Jamshedpur, Rajasthan - 542262"
"Charita Batta","662947284363","29-10-1971","H.No. 22, Ramesh Nagar, North Delhi, Haryana - 682075"
